歌名,,,,,,别名,,,,,,,,,,,,,,
My First Phone,,,,,,小灵通,电话,手机,爷の手机,,,,,,,,,,,
Blows Up Everything,,,,,,吹爆,吹,瞎几把吹,吹爆一切,bue,拆爆,口爆,口爆一切,,,,,,,
Excalibur ～Revived resolution～,,,,,,生煎2,圣剑2,ex咖喱棒,福瑞2,,,,,,,,,,,
Contrapasso -paradiso-,天堂齿轮,,,,,齿轮,天堂,ctps,,,,,,,,,,,,
CYBER Sparks,,,,,,cs,魔理沙爆炸,魔光炮,,,,,,,,,,,,
Good Bye, Mr. Jack,,,,,,再见杰哥,再见杰克,杰哥,,,,,,,,,,,,
幸せになれる隠しコマンドがあるらしい,,,,,,性瘾,幸隐,老婆,不玩了,幸福指令,性性性,,,,,,,,,
Ragnarok,,,,,,黄昏,诸神黄昏,,,,,,,,,,,,,
チルノのパーフェクトさんすう教室　⑨周年バージョン,,,,,,9周年教室,笨蛋教室,九周年,baka,,,,,,,,,,,
GOODMEN,好人,,,,,好男人,好人,良民,好汉歌,良麵,良面,,,,,,,,,
Oshama Scramble!,,,,,,牛奶,哦杀妈,牛奶猫,o杀妈,奶猫,热辣大飞机,🥛,,,,,,,,
最終鬼畜妹・一部声,鬼叫,,,,,鬼畜妹,一部声,蓝蓝路,,,,,,,,,,,,
コネクト,,,,,,小圆op,联系,conect,,,,,,,,,,,,
砂の惑星 feat. HATSUNE MIKU,,,,,,沙星,沙之行星,砂之惑星,砂星,傻屌惑星,山东卫星,,,,,,,,,
Candy Tall Woman,,,,,,糖果高女士,高血糖女人,糖高女,砍弟搞女人,,,,,,,,,,,
ロキ,口丰,,,,,口丰,roki,口≠,ruaki,,,,,,,,,,,
おちゃめ機能,,,,,,天真烂漫机能,机能,五月病,,,,,,,,,,,,
弱虫モンブラン,,,,,,弱虫,胆小鬼,换手练习歌,,,,,,,,,,,,
Maxi,,,,,,马克西,马西,马戏,,,,,,,,,,,,
Garakuta Doll Play,扑克牌,joker,,,,GDP,鬼牌,小丑,果丹皮,国内生产总值,性感小丑在线发牌,,,,,,,,,
Aiolos,,,,,,艾欧洛斯,艾俄洛斯,A打头的风神,,,,,,,,,,,,
Magical Flavor,,,,,,魔法味道,MF,milk+op,,,,,,,,,,,,
プナイプナイせんそう,,,,,,噗奶噗奶,punai,噗奶,,,,,,,,,,,,
"Little ""Sister"" Bitch",,,,,,婊子,小婊子,碧池,,,,,,,,,,,,
結ンデ開イテ羅刹ト骸,八爷,,,,,连起来又分开，罗刹与骨骸,罗刹,结骸,,,,,,,,,,,,
MIRROR of MAGIC,,,,,,MoM,镜魔,魔镜,,,,,,,,,,,,
MAXRAGE,,,,,,绝赞交互,极怒,良怒2,满怒,核按钮,交互天堂,满怒,暴怒,气炸,,,,,,
アージェントシンメトリー,,,,,,argent symmetry,sta,pink op,,,,,,,,,,,,
LOVE EAST,,,,,,爱东,爱东方,转转,,,,,,,,,,,,
ないせんのうた,内线云1,,,,,再见IM外星人,好他妈烦,这个地球是一秒都待不下去了,,,,,,,,,,,,
Streak,,,,,,绿庙,米奇妙妙屋,拆房子,,,,,,,,,,,,
天狗の落とし文 feat. ｙｔｒ,,,,,,天狗,犹太人,ytr,,,,,,,,,,,,
分からない,,,,,,哇卡拉奶,我不知道,吾伐晓得,,,,,,,,,,,,
君の知らない物語,,,,,,你不知道的故事,君知,君知物语,,,,,,,,,,,,
White Traveling Girl,,,,,,白色旅行少女,白旅女,白色旅人,,,,,,,,,,,,
ロミオとシンデレラ,,,,,,罗密欧,灰姑娘,罗密欧与辛德瑞拉,,,,,,,,,,,,
BATTLE NO.1,干架第一名,13p,大鸡巴第一名,tanoc,大几把第一名,打架第一名,战地一,第一战,缝合怪,按摩,,,,,,,,,,
Prophesy One,,,,,,预言一,p1,,,,,,,,,,,,,
ECHO,,,,,,回声,恶臭,一口,,,,,,,,,,,,
Caliburne ～Story of the Legendary sword～,,,,,,生煎,圣剑,生煎2,圣剑2,咖喱棒,福瑞,圣剑1,生煎1,生煎,,,,,,
only my railgun,,,,,,炮姐,超炮,,,,,,,,,,,,,
The wheel to the right,,,,,,印度人,电锯,一块钱2,三块钱,,,,,,,,,,,
Ultranova,,,,,,A4纸,摩托车,超新星,,,,,,,,,,,,
Alea jacta est!,黑人击剑,精分神曲,木已成舟,,,黑人打架,击剑,白人打架,孤注一掷,打架,,,,,,,,,,
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,,,,,,坏人偶,坏人形,,,,,,,,,,,,,
魔ジョ狩リ,,,,,,魔女狩猎,魔狩,,,,,,,,,,,,,
花と、雪と、ドラムンベース。,,,,,,花一轮,花雪,花花花花花花一轮,,,,,,,,,,,,
Lividi,,,,,,李伟迪,李维迪,呼哇,李汶谛,,,,,,,,,,,
PANDORA PARADOXXX,潘多拉悖论,潘你妈,xxx,切开削除,,潘多拉,潘,儿歌,新手教程,,,,,,,,,,,
SILENT BLUE,,,,,,静蓝,SB,四块钱,,,,,,,,,,,,
TiamaT:F minor,,,,,,提亚马特,音响龙,剃阿妈头发,,,,,,,,,,,,
FREEDOM DiVE (tpz Overcute Remix),23456,234.56,FDMM,,,FD,自由落体,FDFD,,,,,,,,,,,,
Destr0yer,驱逐舰,,,,,d0,削除光线,D0,,,,,,,,,,,,
7thSense,,,,,,七感,七拍子,第七感,,,,,,,,,,,,
夜明けまであと３秒,,,,,,夜明,夜明3秒,夜明三秒,失明前三秒,,,,,,,,,,,
Doll Judgment,,,,,,人形裁判,DJ,,,,,,,,,,,,,
高気圧ねこロック,,,,,,高气压猫猫头,高气压猫,高血压,高气压,,,,,,,,,,,
トルコ行進曲 - オワタ＼(^o^)／,,,,,,土耳其进行曲,土耳其,,,,,,,,,,,,,
Crush On You,,,,,,coy,COU,虫儿飞,,,,,,,,,,,,
My Dearest Song,,,,,,大提琴,生日歌,我爱歌,女人拉提琴,,,,,,,,,,,
骸骨楽団とリリア,,,,,,莉莉亚,骸骨乐团,,,,,,,,,,,,,
In Chaos,,,,,,阴超市,超市,超市里谱,硬超市,阴间超市,,,,,,,,,,
アポカリプスに反逆の焔を焚べろ,apocalypse rebellious,,,,,反逆,反逆焰,,,,,,,,,,,,,
六兆年と一夜物語,,,,,,六兆年,希腊奶,,,,,,,,,,,,,
太陽系デスコ,,,,,,太阳系disco,太阳系,,,,,,,,,,,,,
oboro,,,,,,小火球,小火苗,,,,,,,,,,,,,
曖昧mind,,,,,,爱maimai,暧昧mind,,,,,,,,,,,,,
神室雪月花,,,,,,雪月花,如龙,,,,,,,,,,,,,
End Time,et,,,,,恩德太,嗯了么,贤者时间,,,,,,,,,,,,
キミノヨゾラ哨戒班,你的夜空哨戒班,,,,,烧鸡班,哨戒班,,,,,,,,,,,,,
ナンセンス文学,废话文学,,,,,无意义文学,拍手文学,文学,,,,,,,,,,,,
B.B.K.K.B.K.K.,,,,,,bk,bbkkbkk,bbkk,Bass kick,汉堡王,↑↓,,,,,,,,,
シャルル,查尔斯,,,,,夏露露,三力儿儿,,,,,,,,,,,,,
タカハせ！名人マン,奔跑吧！高桥名人侠,,,,,高桥名人,光头16连,高桥,,,,,,,,,,,,
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,小佛凪,世界观,,,,名字太长的歌,考察,名字很长,名字超长,名字很长的歌,,,,,,,,,,
幻想のサテライト,,,,,,幻想卫星,卫星,,,,,,,,,,,,,
檄！帝国華撃団(改),樱花大战2,,,,,滑稽团,帝国华击团,,,,,,,,,,,,,
立川浄穢捕物帳,有损录音,,,,,立川,立川净秽捕物帐,青岛侦探事务所,,,,,,,,,,,,
System “Z”,,,,,,系统z,蔬菜沙拉,,,,,,,,,,,,,
Glorious Crown,FD2,,,,,皇冠,王冠,,,,,,,,,,,,,
脳漿炸裂ガール,,,,,,脑浆,脑浆炸裂女孩,脑浆炸裂,脑浆,,,,,,,,,,,
患部で止まってすぐ溶ける～狂気の優曇華院,兔子药,座药,overdrive,,,患部,优云华院,,,,,,,,,,,,,
AMAZING MIGHTYYYY!!!!,你收个P,,,,,AM,啊卖金麦提,我的妹妹是男的,,,,,,,,,,,,
LANCE,,,,,,蓝枪,兰斯,,,,,,,,,,,,,
Outlaw's Lullaby,,,,,,如龙2,OL,,,,,,,,,,,,,
Moon of Noon,,,,,,月儿子,印度人2,一块钱3,,,,,,,,,,,,
極圏,,,,,,极圈,鸡圈,,,,,,,,,,,,,
Credits,制作组,corporation,PBS,提供,XC-X,信用,cooperation,cre,学分,,,,,,,,,,,
B.M.S.,达美乐披萨,,,,,bms,光吉,,,,,,,,,,,,,
Mr. Wonderland,,,,,,王大狼,梦幻岛,,,,,,,,,,,,,
人里に下ったアタイがいつの間にか社畜になっていた件,,,,,,社畜,NO NO working,,,,,,,,,,,,,
Beat of getting entangled,胡辣汤,,,,,boge,胡来的处男,,,,,,,,,,,,,
明星ロケット,,,,,,明星火箭,明星银河号,,,,,,,,,,,,,
ウサテイ,,,,,,兔子快跑,帝帝跑跑跑,兔子,,,,,,,,,,,,
Rodeo Machine,,,,,,广播,绿皮星星歌,马,,,,,,,,,,,,
ダンシング☆サムライ,dancing samurai,,,,,茄子先生,跳舞武士,,,,,,,,,,,,,
Help me, あーりん！,,,,,,教我，永琳！,erin！erin！,,,,,,,,,,,,,
アンハッピーリフレイン,,,,,,unhappy refrain,不高兴的副歌,,,,,,,,,,,,,
L9,,,,,,绿9,轴交互,,,,,,,,,,,,,
セガサターン起動音[H.][Remix],双灯黑土,大b圈,,,,启动音,世嘉土星启动音,世嘉土星,,,,,,,,,,,,
Endless World,,,,,,无尽世界,ew,,,,,,,,,,,,,
いっしそう電☆舞舞神拳！,紫代主题曲,maimai神拳,一子相传,,,舞舞神拳,114514,,,,,,,,,,,,,
Now or Never,,,,,,现在或从不,non,,,,,,,,,,,,,
カゲロウデイズ,,,,,,车祸歌,阳炎,车祸曲,,,,,,,,,,,,
Reach For The Stars,索尼克缤纷色彩,,,,,追星,索3,,,,,,,,,,,,,
BREAK YOU!!,,,,,,破坏你,绝赞你,,,,,,,,,,,,,
Secret Sleuth,,,,,,ss,秘密侦探,兔爷快乐歌,,,,,,,,,,,,
最終鬼畜妹フランドール・S,,,,,,蓝蓝路,鬼畜妹,最终鬼畜妹,二小姐,二妹,,,,,,,,,,
Money Money,,,,,,骂你骂你,钱钱,紫苑镇,,,,,,,,,,,,
We Gonna Party,,,,,,wgp,咱想开派对,,,,,,,,,,,,,
超常マイマイン,咕噜咕噜,,,,,超常maimai,超常,,,,,,,,,,,,,
We Gonna Journey,,,,,,我们要旅行,wgj,,,,,,,,,,,,,
WARNING×WARNING×WARNING,,,,,,注意注意注意,条纹过膝袜,星条旗,warning,www,,,,,,,,,,
夢花火,u咩哈那比,,,,,梦花火,乙姬角色歌,,,,,,,,,,,,,
Rooftop Run: Act1,,,,,,逃离屋顶,索2,,,,,,,,,,,,,
Monochrome Rainbow,,,,,,单色彩虹,黑白彩虹,,,,,,,,,,,,,
うまるん体操,,,,,,小埋体操,小埋,,,,,,,,,,,,,
名探偵連続殺人事件,,,,,,名侦探,名侦探连续杀人事件,,,,,,,,,,,,,
バラライカ,,,,,,亚拉那一卡,空手道,,,,,,,,,,,,,
quiet room,,,,,,静屋,qr,,,,,,,,,,,,,
ダンスロボットダンス,,,,,,跳舞机器人,drd,,,,,,,,,,,,,
Jumble Rumble,,,,,,DJ鼠,几把乱爆,几把乱报,,,,,,,,,,,,
不思議の国のクリスマス,,,,,,不思议,不可思议,反海底谭,,,,,,,,,,,,
クレイジークレイジーダンサーズ,,,,,,ccd,疯狂疯狂跳舞,,,,,,,,,,,,,
パーフェクト生命,,,,,,,完美生命,,,,,,,,,,,,,
進捗どうですか？,,,,,,进步,进度,,,,,,,,,,,,,
進め！イッスン軍団 -Rebellion of the Dwarfs-,,,,,,前进军团,小人国,小小兵团,,,,,,,,,,,,
真・ハンサム体操でズンドコホイ,,,,,,帅哥体操,真体操,体操,,,,,,,,,,,,
少女幻葬戦慄曲 ～ Necro Fantasia,,,,,,死灵幻想曲,少女幻葬,,,,,,,,,,,,,
いーあるふぁんくらぶ,,,,,,王力宏,12fan,,,,,,,,,,,,,
Sun Dance,,,,,,阳舞,太阳舞,日跳舞,,,,,,,,,,,,
NIGHT OF FIRE,头文字d,,,,,夜火,逮虾户,,,,,,,,,,,,,
METATRON,,,,,,死镰2,梅塔特隆,钟楼,,,,,,,,,,,,
FEEL ALIVE,,,,,,感觉活着,女人赛跑,,,,,,,,,,,,,
夏祭り,,,,,,夏祭,Our Wrenally,,,,,,,,,,,,,
ポップミュージックは僕のもの,,,,,,男童歌,男同,,,,,,,,,,,,,
Dreampainter,,,,,,梦境绘画者,sta金曲,,,,,,,,,,,,,
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,,,,,,管弦乐,g弦,智障交互,,,,,,,,,,,,
♡マイマイマイラブ♡,,,,,,my my my love,sega游戏宇宙一,,,,,,,,,,,,,
チルノのパーフェクトさんすう教室,,,,,,算数教室,琪露诺的完美算数教室,⑨,,,,,,,,,,,,
Last Brave ～ Go to zero,,,,,,变成0,走向0,,,,,,,,,,,,,
GET!! 夢&DREAM,,,,,,取得梦和梦,学园handsome,,,,,,,,,,,,,
敗北の少年,,,,,,败北少年,败北的少年,黑丝破洞,,,,,,,,,,,,
Acceleration,,,,,,加速,转圈金曲,,,,,,,,,,,,,
Burning Hearts ～炎のANGEL～,,,,,,BR,阳炎,,,,,,,,,,,,,
Beat Of Mind,,,,,,bom,nmb的mai,,,,,,,,,,,,,
シュガーソングとビターステップ,,,,,,糖歌,糖车,,,,,,,,,,,,,
一か罰,,,,,,一力罚,一刀罚,,,,,,,,,,,,,
二息歩行,,,,,,儿媳不行,二息步行,,,,,,,,,,,,,
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,不管说什么都在听着的琴叶茜酱,琴叶茜,Akane,,,seyana,说的事呢,,,,,,,,,,,,,
ぐるぐるWASH！コインランドリー・ディスコ,,,,,,洗衣房,suomi,洗衣机,咕噜咕噜,滚筒洗衣机,,,,,,,,,,
星屑ユートピア,,,,,,星屑乌托邦,星屑,,,,,,,,,,,,,
Change Our MIRAI！,,,,,,五对柰子,改变未来,com,不含月铃姐妹,,,,,,,,,,,
DO RORO DERODERO ON DO RORO,百鬼大战绘卷,,,,,多罗罗,源平2,迪罗迪罗,,,,,,,,,,,,
フラジール,Fragile,,,,,fragile,易碎品,,,,,,,,,,,,,
Dragoon,,,,,,龙,龙骑士,,,,,,,,,,,,,
しゅわスパ大作戦☆,,,,,,修哇,修哇大作战,,,,,,,,,,,,,
物凄い勢いでけーねが物凄いうた,,,,,,物凄,慧音,,,,,,,,,,,,,
厨病激発ボーイ,,,,,,厨病,厨病激发男孩,,,,,,,,,,,,,
FestivaLight,,,,,,节日光,milked,,,,,,,,,,,,,
色は匂へど散りぬるを,,,,,,色散,伊洛瓦,,,,,,,,,,,,,
LOSER,撸射,,,,,卢瑟,输了,我,你,小正太,失败者,他,她,,,,,,,
L4TS:2018 (feat. あひる & KTA),,,,,,银发女孩,L4TS,2018,伊蕾娜,白毛萝莉,,,,,,,,,,
CYCLES,,,,,,马瓦鲁,马挖路,轮回,马哇路,,,,,,,,,,,
天ノ弱,,,,,,天之弱,天弱,,,,,,,,,,,,,
アマノジャクリバース feat. ｙｔｒ,,,,,,天邪鬼反转,天邪鬼,过马路,灵梦过马路,,,,,,,,,,,
Danza zandA,,,,,,小号歌,蛋砸砸蛋,,,,,,,,,,,,,
KING is BACK!!,,,,,,王者归来,kib,,,,,,,,,,,,,
お気に召すまま,,,,,,皆大欢喜,气召,,,,,,,,,,,,,
ココロスキャンのうた,,,,,,心灵扫描歌,捂裆男,,,,,,,,,,,,,
magician's operation,,,,,,魔法师手术,魔术手,,,,,,,,,,,,,
共感覚おばけ,,,,,,共感觉,共感怪兽,,,,,,,,,,,,,
FLOWER,,,,,,扶老二,花,,,,,,,,,,,,,
SHINY DAYS,,,,,,摇曳露营,虾泥爹,,,,,,,,,,,,,
キズナの物語,,,,,,锁链战记,羁绊物语,,,,,,,,,,,,,
Limit Break,,,,,,LB,限制绝赞,,,,,,,,,,,,,
四月の雨,四月的雨,,,,,四月的shi,四月雨,,,,,,,,,,,,,
TEmPTaTiON,百合咲mika,mika,老婆,,,小萝莉,诱惑,小萝莉的诱惑,他不太深,小天使,百合咲,,,,,,,,,
Windy Hill -Zone 1,索尼克失落的世界,,,,,追星上位,索4,,,,,,,,,,,,,
ロストワンの号哭,,,,,,号哭,,,,,,,,,,,,,,
Nyan Cat EX,,,,,,彩虹猫,,,,,,,,,,,,,,
Ignis Danse,,,,,,火神,,,,,,,,,,,,,,
ジングルベル,铃儿响叮当,Jingle bell,,,,圣诞歌,圣诞,,,,,,,,,,,,,
DADDY MULK -Groove remix-,忍者战士,,,,,爸爸奶,大爹马克,爹地奶,爹爹奶,爹奶,,,,,,,,,,
Space Harrier Main Theme [Reborn],,,,,,太空哈利,太空,,,,,,,,,,,,,
the EmpErroR,,,,,,皇帝,,,,,,,,,,,,,,
Bad Apple!! feat nomico,,,,,,坏苹果,烂苹果,黑白苹果,,,,,,,,,,,,
DRAGONLADY,你舍得打破这份宁静吗,舍得,尼美舒利,,,龙女,龙女士,纵连女士,龙玉涛,,,,,,,,,,,
裏表ラバーズ,,,,,,里表,,,,,,,,,,,,,,
Brain Power,,,,,,脑力,Bass kick,O-oooooooooo,bp,脑力,,,,,,,,,,
SPICY SWINGY STYLE,,,,,,SSS,,,,,,,,,,,,,,
Pixel Voyage,,,,,,小飞机,,,,,,,,,,,,,,
Like the Wind [Reborn],动力甩尾,,,,,一块钱,,,,,,,,,,,,,,
Ievan Polkka,,,,,,甩葱歌,,,,,,,,,,,,,,
ネ！コ！,流浪猫之心,野良猫,,,,neko,,,,,,,,,,,,,,
L'épilogue,,,,,,法文歌,,,,,,,,,,,,,,
ナイト・オブ・ナイツ,骑士之夜,,,,,夜骑,,,,,,,,,,,,,,
GEMINI -M-,,,,,,双子星,戈米尼,,,,,,,,,,,,,
魔理沙は大変なものを盗んでいきました,,,,,,魔理沙偷走了重要的东西,魔理沙,,,,,,,,,,,,,
HERA,,,,,,赫拉,黑拉,,,,,,,,,,,,,
緋色のDance,,,,,,绯色,,,,,,,,,,,,,,
玩具狂奏曲 -終焉-,,,,,,玩具,,,,,,,,,,,,,,
Mysterious Destiny,,,,,,贝姐,神秘命运,,,,,,,,,,,,,
電車で電車でOPA!OPA!OPA! -GMT mashup-,电车GO×幻想空间,,,,,电车,星星电车,,,,,,,,,,,,,
Death Scythe,,,,,,死镰,死镰1,,,,,,,,,,,,,
ウッーウッーウマウマ(ﾟ∀ﾟ),,,,,,扭腰歌,,,,,,,,,,,,,,
日本の米は世界一,,,,,,日本米,,,,,,,,,,,,,,
エンドマークに希望と涙を添えて,,,,,,希望泪,,,,,,,,,,,,,,
このピアノでお前を8759632145回ぶん殴る,,,,,,钢琴,8759632145,1145141919810,,,,,,,,,,,,
Natural Flow,,,,,,自然流,,,,,,,,,,,,,,
Halcyon,翡翠鸟,,,,,翡翠鸡,,,,,,,,,,,,,,
larva,,,,,,拉瓦,,,,,,,,,,,,,,
Believe the Rainbow,彩虹,,,,,相信彩虹,,,,,,,,,,,,,,
奏者はただ背中と提琴で語るのみ,,,,,,奏者,,,,,,,,,,,,,,
Imperishable Night 2006 (2016 Refine),,,,,,2006,,,,,,,,,,,,,,
デビル☆アイドル,,,,,,恶魔偶像,,,,,,,,,,,,,,
Axeria,,,,,,ax,,,,,,,,,,,,,,
Blew Moon,,,,,,吹月,,,,,,,,,,,,,,
LUCIA,,,,,,露西亚,,,,,,,,,,,,,,
ネコ日和。,,,,,,猫日和,猫天气,,,,,,,,,,,,,
インビジブル,噜啪啪,,,,,Invisible,,,,,,,,,,,,,,
Fragrance,,,,,,香水,斜塔,大楼,,,,,,,,,,,,
Back 2 Back,,,,,,b2b,回二回,,,,,,,,,,,,,
conflict,,,,,,公交车,冲突,bus,,,,,,,,,,,,
VERTeX,,,,,,水神,,,,,,,,,,,,,,
言ノ葉遊戯,,,,,,言叶游戏,,,,,,,,,,,,,,
にじよめちゃん体操第一億,牵线木偶,,,,,体操,体操一亿,体操第一亿,,,,,,,,,,,,
月に叢雲華に風,,,,,,月丛云,月风,,,,,,,,,,,,,
猫祭り,,,,,,猫祭,猫,猫寄,,,,,,,,,,,,
Scream out! -maimai SONIC WASHER Edit-,,,,,,赞不绝口,美国紫妈,,,,,,,,,,,,,
林檎華憐歌,,,,,,林檎,大妈唱歌,,,,,,,,,,,,,
雷切-RAIKIRI-,,,,,,雷切,,,,,,,,,,,,,,
TwisteD! XD,,,,,,xd,,,,,,,,,,,,,,
初音ミクの消失,,,,,,消失,,,,,,,,,,,,,,
Nitrous Fury,,,,,,nf,,,,,,,,,,,,,,
BOKUTO,临兵斗者皆阵列在前,剥裤头,,,,波裤头,,,,,,,,,,,,,,
air's gravity,,,,,,空气重力,,,,,,,,,,,,,,
Sakura Fubuki,,,,,,樱吹雪,樱吹屎,fbk,白上吹雪,,,,,,,,,,,
ナイト・オブ・ナイツ (Cranky Remix),,,,,,夜骑2,dx夜骑,cranky也要当夜骑,,,,,,,,,,,,
炭★坑★節,最新热歌慢摇,,,,,炭坑节,,,,,,,,,,,,,,
Altale,,,,,,机器人钓鱼,阿泰尔,,,,,,,,,,,,,
天火明命,,,,,,天火,天火没命,,,,,,,,,,,,,
猛進ソリストライフ！,,,,,,猛进,小提琴,,,,,,,,,,,,,
Panopticon,,,,,,监狱,中央美术学院,,,,,,,,,,,,,
Scars of FAUNA,,,,,,土神,,,,,,,,,,,,,,
Black Out,,,,,,黑出,,,,,,,,,,,,,,
からくりピエロ,,,,,,活动小丑,,,,,,,,,,,,,,
ガラテアの螺旋,,,,,,螺旋,,,,,,,,,,,,,,
Scarlet Lance,,,,,,红枪,,,,,,,,,,,,,,
Calamity Fortune,灾厄命运,,,,,cf,卡拉米提佛纯,穿越火线,,,,,,,,,,,,
Revive The Rave,,,,,,rtr,,,,,,,,,,,,,,
天国と地獄,康康舞曲,地狱中的奥菲欧,菠菜进行曲,为你而生,,天国地狱,,,,,,,,,,,,,,
FUJIN Rumble,,,,,,风神,福晋软贝,父进入母逼,,,,,,,,,,,,
初音ミクの激唱,机场,鸡场,鸡肠,,,激唱,,,,,,,,,,,,,,
CITRUS MONSTER,,,,,,橘子怪兽,CM,,,,,,,,,,,,,
閃鋼のブリューナク,,,,,,闪钢,,,,,,,,,,,,,,
Nerverakes,,,,,,两块钱,地球仪,,,,,,,,,,,,,
Lionheart,,,,,,狮心,,,,,,,,,,,,,,
電車で電車でGO!GO!GO!GC! -GMT remix-,电车GO,,,,,电车,,,,,,,,,,,,,,
Jack-the-Ripper◆,,,,,,开膛手杰克,杰哥雷普,开膛手,杰哥,,,,,,,,,,,
Technicians High,,,,,,科技高,高科技,,,,,,,,,,,,,
隠然,,,,,,隐然,,,,,,,,,,,,,,
リッジでリッジでGO!GO!GO! -GMT mashup-,山脊赛车×电车GO,,,,,电车gogogo,电车,电车go,,,,,,,,,,,,
After Burner,,,,,,冲破火网,AB,,,,,,,,,,,,,
Feel My Fire,,,,,,感受我的火,,,,,,,,,,,,,,
ピーマンたべたら,,,,,,青椒,,,,,,,,,,,,,,
デッドレッドガールズ,,,,,,死红女,,,,,,,,,,,,,,
shake it!,狗zhai子,,,,,摇它,,,,,,,,,,,,,,
ヘルシーエンド,healthy end,,,,,maimai你摸,,,,,,,,,,,,,,
グリーンライツ・セレナーデ,,,,,,绿光小夜曲,,,,,,,,,,,,,,
DETARAME ROCK&ROLL THEORY,,,,,,detarame,星星歌,,,,,,,,,,,,,
Crazy Circle,,,,,,疯圈,黑喂狗,,,,,,,,,,,,,
awake,,,,,,醒了,起了,,,,,,,,,,,,,
ドクハク,,,,,,独白,棺材,,,,,,,,,,,,,
サヨナラチェーンソー,,,,,,再见电锯,,,,,,,,,,,,,,
全人類ノ非想天則,全人类,,,,,非想天則,绯想天,,,,,,,,,,,,,
咲キ誇レ常世ノ華,,,,,,常世华,常世之华,,,,,,,,,,,,,
きみのためなら死ねる,为你而死,,,,,为了你而死,,,,,,,,,,,,,,
come again,,,,,,再来一遍,,,,,,,,,,,,,,
りばーぶ,,,,,,reverb,,,,,,,,,,,,,,
ミラクル・ショッピング,堂吉诃德,乱中取胜,,,,购物,,,,,,,,,,,,,,
オパ! オパ! RACER -GMT mashup-,幻想空间×山脊赛车,,,,,赛车,,,,,,,,,,,,,,
Brand-new Japanesque,如龙见参,,,,,全新日本人,,,,,,,,,,,,,,
Still,,,,,,仍然,,,,,,,,,,,,,,
悪戯,,,,,,恶戏,,,,,,,,,,,,,,
BETTER CHOICE,,,,,,更好的选择,,,,,,,,,,,,,,
吉原ラメント,吉原泼妇,,,,,吉原哀歌,吉原,,,,,,,,,,,,,
終わりなき物語,,,,,,无尽物语,物语,,,,,,,,,,,,,
なるとなぎのパーフェクトロックンロール教室,箱部鸣与小佛凪的完美摇滚教室,摇滚教室,,,,琪露诺的完美算数教室,⑨,,,,,,,,,,,,,
イロトリドリのメロディ,,,,,,彩绿之歌,,,,,,,,,,,,,,
火炎地獄,,,,,,火炎地狱,,,,,,,,,,,,,,
Kinda Way,,,,,,,KW,,,,,,,,,,,,,
Catch The Future,,,,,,抓住未来,,,,,,,,,,,,,,
シアワセうさぎ,,,,,,幸福兔,,,,,,,,,,,,,,
